"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 18 01:21:48 GMT 2024","Tue Jun 18 01:22:32 GMT 2024","44307","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Tue Jun 18 01:22:37 GMT 2024","Tue Jun 18 01:23:26 GMT 2024","49531","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Tue Jun 18 01:24:00 GMT 2024","Tue Jun 18 01:24:53 GMT 2024","53131","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Tue Jun 18 01:21:15 GMT 2024","Tue Jun 18 01:21:47 GMT 2024","32868","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Tue Jun 18 01:23:26 GMT 2024","Tue Jun 18 01:24:00 GMT 2024","33275","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Tue Jun 18 01:19:25 GMT 2024","Tue Jun 18 01:20:12 GMT 2024","46129","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"passed","Tue Jun 18 01:20:12 GMT 2024","Tue Jun 18 01:21:02 GMT 2024","49980","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Tue Jun 18 01:18:24 GMT 2024","Tue Jun 18 01:19:18 GMT 2024","53834","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"failed","Tue Jun 18 01:16:45 GMT 2024","Tue Jun 18 01:17:29 GMT 2024","43154","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Tue Jun 18 01:17:34 GMT 2024","Tue Jun 18 01:18:24 GMT 2024","50716","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"passed","Tue Jun 18 01:19:18 GMT 2024","Tue Jun 18 01:19:25 GMT 2024","7191","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Tue Jun 18 01:21:07 GMT 2024","Tue Jun 18 01:21:15 GMT 2024","7615","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Tue Jun 18 01:24:53 GMT 2024","Tue Jun 18 01:25:04 GMT 2024","11100","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
